screen,config,seconds_first_generate,seconds_to_acceptable_result,refine_iterations,final_ssim
01-equipment-status,image_only,64.3,316.43,2,0.8204
01-equipment-status,with_variables,63.04,302.98,2,0.8218
01-equipment-status,with_variables_css,66.01,384.34,2,0.7563
02-alarm-event,image_only,79.95,686.98,2,0.6552
02-alarm-event,with_variables,210.0,624.97,2,0.6667
02-alarm-event,with_variables_css,91.14,645.51,2,0.6449
03-trend-monitor,image_only,199.03,357.55,2,0.7789
03-trend-monitor,with_variables,78.48,232.41,2,0.7672
03-trend-monitor,with_variables_css,201.37,357.89,2,0.75
04-operator-panel,image_only,200.11,619.16,2,0.7487
04-operator-panel,with_variables,71.98,384.25,2,0.7604
04-operator-panel,with_variables_css,196.04,364.18,2,0.7647
05-production-overview,image_only,129.0,653.73,2,0.6885
05-production-overview,with_variables,248.18,634.05,2,0.7124
05-production-overview,with_variables_css,109.86,478.78,2,0.7067
06-tank-synoptic,image_only,60.47,1090.91,2,0.7604
06-tank-synoptic,with_variables,58.72,1359.13,2,0.732
06-tank-synoptic,with_variables_css,85.64,365.54,2,0.7211
07-energy-dashboard,image_only,77.49,380.86,2,0.7871
07-energy-dashboard,with_variables,197.62,1211.9,2,0.8403
07-energy-dashboard,with_variables_css,71.48,242.66,2,0.7745
08-batch-recipe,image_only,208.37,545.87,2,0.7608
08-batch-recipe,with_variables,241.37,583.84,2,0.7503
08-batch-recipe,with_variables_css,203.84,1672.13,2,0.7516
